2016-03-03 20:33:22	Start
2016-03-03 20:33:30	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
0.000	0.344559	9.700775	0.207275	9.709105	0.345	9.701	0.207	9.709
0.020	0.311234	9.705536	0.295349	9.715015	0.336	9.702	0.229	9.711
0.040	0.363602	9.607941	0.254883	9.618196	0.341	9.679	0.241	9.688
0.062	0.389786	9.707916	0.259644	9.719207	0.352	9.681	0.254	9.690
0.081	0.399307	9.717438	0.221558	9.728162	0.366	9.685	0.258	9.695
0.101	0.427872	9.719818	0.264404	9.732823	0.395	9.688	0.250	9.700
0.122	0.415970	9.624603	0.278687	9.637618	0.408	9.692	0.256	9.704
0.141	0.406448	9.665070	0.212036	9.675935	0.412	9.682	0.244	9.694
0.161	0.365982	9.662689	0.309631	9.674574	0.404	9.668	0.266	9.680
0.181	0.465958	9.700775	0.297729	9.716522	0.414	9.663	0.275	9.676
0.201	0.420731	9.591278	0.338196	9.606457	0.415	9.655	0.289	9.668
0.222	0.346939	9.738861	0.195374	9.746997	0.400	9.673	0.285	9.686
0.242	0.311234	9.741241	0.121582	9.746970	0.386	9.693	0.238	9.704
0.262	0.399307	9.795990	0.547668	9.819410	0.370	9.717	0.301	9.730
0.283	0.411209	9.653168	0.719055	9.688642	0.367	9.732	0.396	9.751
0.302	0.246964	9.555573	0.414368	9.567740	0.342	9.686	0.451	9.706
0.325	0.230301	9.400848	0.426270	9.413326	0.322	9.601	0.527	9.622
0.343	0.437393	9.386566	0.369141	9.404000	0.331	9.499	0.482	9.518
0.363	0.249344	9.429413	0.345337	9.439028	0.291	9.443	0.389	9.456
0.383	0.285049	9.460358	-0.111694	9.465310	0.301	9.419	0.257	9.430
0.403	0.270767	9.612701	-0.152161	9.617718	0.311	9.472	0.113	9.482
0.425	0.792068	9.324677	0.226318	9.360993	0.399	9.457	0.077	9.471
0.443	0.639725	8.751007	0.007324	8.774362	0.497	9.287	-0.008	9.305
0.464	0.054153	9.572235	0.057312	9.572560	0.439	9.315	0.035	9.331
0.484	-0.612350	9.186615	-0.099792	9.207542	0.218	9.209	0.048	9.229
0.504	-0.855148	9.515106	-0.271179	9.557304	-0.193	9.256	-0.077	9.278
0.526	-0.540939	9.857880	-1.204285	9.945889	-0.489	9.533	-0.379	9.571
0.546	-0.609970	10.555328	-1.854126	10.734282	-0.655	9.779	-0.857	9.861
0.568	-0.200546	10.895721	-1.775574	11.041269	-0.552	10.206	-1.276	10.320
0.585	0.080338	10.636261	-1.768433	10.782572	-0.318	10.486	-1.651	10.626
0.606	0.187454	9.312775	-1.435181	9.424578	-0.136	10.350	-1.708	10.496
0.629	-0.033920	8.341583	-1.087646	8.412261	0.008	9.797	-1.517	9.915
0.647	-0.457626	8.608185	-0.771057	8.654756	-0.056	9.225	-1.266	9.319
0.667	-0.481430	8.908112	-0.437805	8.931848	-0.196	8.793	-0.933	8.856
0.687	-0.859909	9.105682	-0.535400	9.161853	-0.458	8.741	-0.708	8.790
0.706	-0.890854	9.757904	-0.618713	9.817999	-0.672	9.095	-0.591	9.142
0.731	-0.671860	9.660309	-0.447327	9.693970	-0.726	9.358	-0.510	9.401
0.747	-0.486191	9.405609	-0.209290	9.420492	-0.727	9.482	-0.453	9.524
0.776	-0.286240	9.217560	-0.849609	9.261057	-0.584	9.510	-0.531	9.548
0.787	-0.110092	9.212799	-1.025757	9.270381	-0.389	9.374	-0.633	9.411
0.808	-0.081528	9.100922	-0.894836	9.145171	-0.241	9.234	-0.745	9.274
0.828	0.332657	9.324677	-1.194763	9.406791	-0.036	9.214	-0.991	9.271
0.849	0.344559	9.531769	-1.394714	9.639428	0.121	9.293	-1.128	9.365
0.868	0.275528	10.417267	-1.492310	10.527219	0.218	9.594	-1.244	9.680
0.889	0.123184	11.000458	-1.128113	11.058837	0.269	10.069	-1.302	10.158
0.908	-0.255295	11.376556	-0.602051	11.395336	0.122	10.582	-1.154	10.655
0.932	-0.431442	11.766937	-0.844849	11.805115	-0.072	11.140	-1.017	11.197
0.948	-0.817062	13.004730	-1.009094	13.069386	-0.345	11.787	-0.896	11.832
0.973	-0.695663	13.964020	-1.592285	14.071715	-0.550	12.528	-1.012	12.585
0.994	-0.455246	13.704559	-1.637512	13.809548	-0.600	13.110	-1.271	13.189
1.017	-0.210068	10.890961	0.085876	10.893325	-0.545	12.891	-1.038	12.961
1.032	1.639481	12.723846	0.738098	12.850251	0.070	12.821	-0.601	12.906
1.049	0.632584	11.707428	2.156799	11.921234	0.402	12.257	0.336	12.369
1.069	0.932510	8.755768	3.287476	9.398965	0.749	11.020	1.567	11.266
1.092	1.227676	7.610809	2.997070	8.271278	1.108	10.199	2.295	10.610
1.110	0.813492	7.372772	2.180603	7.731401	0.902	8.862	2.655	9.331
1.133	0.508804	7.539398	0.921387	7.612513	0.871	7.820	2.347	8.254
1.150	0.446915	8.984283	0.466736	9.007492	0.749	7.877	1.641	8.156
1.175	0.932510	9.848358	0.604797	9.910878	0.675	8.436	1.043	8.566
1.192	0.870621	10.195892	0.683350	10.255787	0.690	9.142	0.669	9.197
1.210	0.651627	10.702911	0.742859	10.748431	0.725	9.933	0.624	9.981
1.231	0.325516	10.072113	0.971375	10.124080	0.695	10.205	0.751	10.260
1.250	0.237442	8.608185	0.933289	8.661885	0.521	9.895	0.833	9.948
