2016-03-03 21:09:36	Start
2016-03-03 21:09:51	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
0.000	-0.262436	9.579376	0.904724	9.625583	-0.262	9.579	0.905	9.626
0.020	-0.198166	9.610321	0.961853	9.660368	-0.246	9.587	0.919	9.634
0.042	-0.331467	9.755524	0.883301	9.801037	-0.264	9.631	0.914	9.678
0.062	-0.279099	9.703156	0.869019	9.745990	-0.268	9.662	0.905	9.708
0.082	-0.307663	9.667450	0.985657	9.722436	-0.279	9.684	0.925	9.732
0.104	-0.302902	9.710297	0.995178	9.765859	-0.305	9.709	0.933	9.759
0.122	-0.383835	9.634125	0.973755	9.690815	-0.318	9.679	0.956	9.731
0.143	-0.369553	9.574615	0.971375	9.630856	-0.341	9.647	0.981	9.702
0.163	-0.374313	9.591278	0.935669	9.644076	-0.358	9.628	0.969	9.683
0.183	-0.402878	9.641266	0.966614	9.697972	-0.383	9.610	0.962	9.666
0.204	-0.400497	9.650787	0.921387	9.702940	-0.387	9.614	0.949	9.669
0.222	-0.450485	9.641266	0.973755	9.700780	-0.407	9.631	0.949	9.686
0.244	-0.398117	9.696014	0.997559	9.755323	-0.413	9.657	0.965	9.714
0.263	-0.440964	9.631744	0.964233	9.689928	-0.423	9.655	0.964	9.712
0.284	-0.367172	9.567474	0.988037	9.625363	-0.414	9.634	0.981	9.693
0.305	-0.321945	9.512726	0.938049	9.564284	-0.382	9.602	0.972	9.659
0.328	-0.379074	9.538910	0.888062	9.587656	-0.377	9.563	0.945	9.617
0.344	-0.433823	9.567474	0.957092	9.625009	-0.376	9.547	0.943	9.601
0.364	-0.376694	9.496063	1.014221	9.557498	-0.378	9.529	0.949	9.584
0.384	-0.464767	9.560333	1.021362	9.625963	-0.414	9.541	0.970	9.599
0.406	-0.167221	9.367523	1.249878	9.452018	-0.361	9.498	1.061	9.565
0.427	-0.410019	9.534149	0.973755	9.592513	-0.355	9.490	1.065	9.557
0.446	-0.262436	9.648407	0.521484	9.666053	-0.326	9.528	0.942	9.584
0.465	0.016068	9.541290	1.297485	9.629120	-0.206	9.523	1.011	9.585
0.489	0.170792	9.534149	0.792847	9.568583	-0.121	9.564	0.896	9.614
0.508	0.139847	9.510345	0.833313	9.547808	0.016	9.559	0.861	9.603
0.531	0.496902	9.291351	1.199890	9.381676	0.206	9.469	1.031	9.532
0.545	0.956314	9.162811	1.147522	9.283773	0.441	9.375	0.993	9.445
0.570	1.058670	9.248505	1.049927	9.367922	0.663	9.303	1.058	9.395
0.585	1.018204	9.762665	0.788086	9.847205	0.883	9.366	1.046	9.470
0.607	0.739700	10.417267	0.580994	10.459644	0.943	9.648	0.892	9.740
0.628	0.637344	10.902863	0.535767	10.934609	0.863	10.083	0.739	10.152
0.649	0.418350	10.955231	0.864258	10.997229	0.703	10.510	0.692	10.560
0.666	0.501663	10.291107	1.102295	10.362124	0.574	10.642	0.771	10.688
0.687	0.646866	9.410370	1.157043	9.503276	0.551	10.390	0.915	10.449
0.708	0.699234	8.808136	1.211792	8.918555	0.567	9.866	1.084	9.945
0.734	0.634964	8.701019	1.128479	8.796839	0.621	9.303	1.150	9.395
0.747	0.637344	8.822418	1.147522	8.919533	0.655	8.935	1.161	9.035
0.767	0.675430	8.843842	1.214172	8.952315	0.662	8.794	1.175	8.897
0.788	0.482620	8.874786	0.919006	8.935286	0.608	8.811	1.102	8.901
0.809	0.504044	8.960480	0.897583	9.019419	0.575	8.875	1.045	8.957
