2016-03-03 21:17:01	Start
2016-03-03 21:17:14	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
0.000	-0.010117	4.135468	9.195557	10.082681	-0.010	4.135	9.196	10.083
0.016	0.089859	4.102142	8.869446	9.772549	0.015	4.127	9.114	10.005
0.035	0.092239	3.999786	8.707581	9.582732	0.040	4.093	8.992	9.880
0.055	0.087479	4.014069	8.826599	9.696868	0.065	4.063	8.900	9.784
0.075	0.108902	4.004547	8.426697	9.330459	0.095	4.030	8.708	9.596
0.097	-0.036301	3.954559	8.514771	9.388353	0.063	3.993	8.619	9.500
0.115	-0.026779	3.997406	8.650452	9.529443	0.033	3.993	8.605	9.486
0.135	0.092239	4.033112	8.614746	9.512536	0.035	3.997	8.552	9.440
0.156	0.185074	3.975983	8.602844	9.479009	0.054	3.990	8.596	9.477
0.175	0.237442	3.959320	8.778992	9.633446	0.122	3.991	8.662	9.539
0.196	0.204117	4.021210	8.662354	9.552390	0.180	3.997	8.665	9.544
0.218	0.180313	4.040253	8.467163	9.383443	0.202	3.999	8.628	9.512
0.236	0.089859	3.945038	8.426697	9.304870	0.178	3.991	8.584	9.469
0.257	-0.126755	3.687958	8.683777	9.435310	0.087	3.924	8.560	9.419
0.276	0.142227	3.742706	8.726624	9.496422	0.071	3.854	8.576	9.405
0.299	0.208878	3.664154	8.567139	9.320168	0.079	3.760	8.601	9.389
0.319	0.285049	3.554657	8.438599	9.161156	0.127	3.662	8.604	9.353
0.337	0.292191	3.633209	8.778992	9.505592	0.232	3.649	8.628	9.371
0.358	0.508804	3.664154	8.976562	9.708943	0.324	3.629	8.690	9.424
0.377	0.489761	3.683197	9.281250	9.997370	0.394	3.634	8.869	9.593
0.398	0.454056	3.599884	9.152710	9.845681	0.436	3.645	9.047	9.764
0.418	0.263626	3.621307	9.793030	10.444463	0.429	3.642	9.301	9.999
0.440	0.258865	3.573700	9.957275	10.582328	0.367	3.620	9.546	10.217
0.459	0.485001	3.440399	9.440735	10.059774	0.365	3.559	9.586	10.233
0.481	0.582596	3.364227	9.100342	9.719756	0.398	3.500	9.573	10.202
0.500	0.534988	3.511810	8.924194	9.605221	0.465	3.473	9.356	9.992
0.521	0.187454	3.790314	8.505249	9.313479	0.448	3.527	8.993	9.675
0.539	-0.238632	4.166412	8.171997	9.175918	0.267	3.708	8.675	9.454
0.560	-0.483810	4.485382	8.357666	9.497542	0.000	3.988	8.490	9.398
0.582	-0.410019	4.730560	8.850403	10.043702	-0.236	4.293	8.471	9.508
0.599	-0.074387	4.780548	9.604980	10.729158	-0.302	4.541	8.746	9.862
0.622	0.185074	4.585358	9.828735	10.847295	-0.196	4.645	9.160	10.279
0.641	0.385025	4.509186	9.385986	10.420064	0.021	4.651	9.418	10.510
0.660	0.325516	4.523468	8.800415	9.900254	0.205	4.600	9.405	10.474
0.681	0.227921	4.516327	8.562378	9.683154	0.281	4.534	9.144	10.213
0.701	0.063675	4.271149	8.186279	9.233739	0.251	4.455	8.734	9.809
0.721	-0.110092	3.892670	7.817322	8.733585	0.127	4.301	8.342	9.388
