2016-03-03 20:57:01	Start
2016-03-03 20:57:13	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
0.000	0.058914	5.942169	8.302917	10.210352	0.059	5.942	8.303	10.210
0.019	0.423111	5.885040	7.731628	9.725780	0.150	5.928	8.160	10.089
0.039	0.263626	5.656525	7.762573	9.608502	0.201	5.856	8.025	9.939
0.060	0.235062	5.965973	7.786377	9.812021	0.245	5.862	7.896	9.839
0.081	0.382645	6.213531	7.800659	9.980214	0.326	5.930	7.770	9.782
0.100	0.349319	6.377777	7.734009	10.030601	0.308	6.053	7.771	9.858
0.121	0.204117	6.325409	7.855408	10.087611	0.293	6.221	7.794	9.978
0.140	-0.000595	6.194489	7.869690	10.015174	0.234	6.278	7.815	10.028
0.161	0.039871	6.265900	8.181519	10.305355	0.148	6.291	7.910	10.110
0.182	0.142227	6.306366	8.474304	10.564294	0.096	6.273	8.095	10.243
0.205	0.232681	6.275421	8.798035	10.809277	0.104	6.261	8.331	10.424
0.221	0.327896	6.070709	8.783752	10.682478	0.186	6.230	8.559	10.590
0.242	0.311234	5.977875	8.343384	10.268588	0.254	6.158	8.600	10.581
0.265	-0.038681	5.937408	8.333862	10.232672	0.208	6.065	8.565	10.498
0.283	-0.214828	5.920746	9.000366	10.775341	0.096	5.977	8.615	10.490
0.305	-0.179123	5.744598	10.157227	11.670551	-0.030	5.895	8.959	10.737
0.324	-0.029160	5.070953	12.394775	13.392008	-0.115	5.668	9.972	11.518
0.343	-0.183884	4.306854	12.361450	13.091534	-0.152	5.261	10.978	12.232
0.365	-0.495712	3.502289	10.611877	11.185871	-0.222	4.656	11.381	12.335
0.384	-1.183640	3.130951	9.885864	10.437153	-0.473	4.003	11.313	12.027
0.406	-0.348129	3.197601	9.012268	9.569056	-0.553	3.534	10.468	11.071
0.424	-0.609970	3.549896	9.286011	9.960112	-0.659	3.345	9.699	10.288
0.443	-0.774216	3.956940	9.178894	10.025412	-0.729	3.459	9.341	9.998
0.466	-0.629013	4.114044	8.957520	9.877154	-0.590	3.705	9.109	9.858
0.495	-0.698044	4.018829	8.736145	9.641498	-0.678	3.910	9.040	9.876
0.513	-0.650436	4.045013	8.471924	9.410563	-0.688	4.034	8.836	9.739
0.527	-0.674240	3.721283	7.936340	8.791362	-0.663	3.975	8.525	9.430
0.544	-0.631393	3.666534	7.674500	8.528779	-0.664	3.863	8.205	9.093
0.566	-0.314804	3.659393	7.160339	8.047405	-0.568	3.773	7.811	8.695
0.583	-0.164841	3.740326	6.893738	7.844797	-0.446	3.697	7.416	8.303
0.605	0.063675	3.716522	6.479553	7.470020	-0.262	3.696	7.052	7.973
0.623	0.194595	3.797455	6.450989	7.488243	-0.055	3.728	6.746	7.713
0.643	0.144608	3.823639	6.491455	7.535258	0.060	3.769	6.579	7.585
0.664	0.139847	4.056915	6.453369	7.623916	0.136	3.849	6.469	7.529
0.684	0.089859	4.235443	6.667603	7.899619	0.142	3.978	6.516	7.637
0.704	-0.167221	4.463959	6.934204	8.248520	0.052	4.145	6.637	7.827
0.724	-0.426682	4.625824	7.276978	8.633348	-0.091	4.346	6.833	8.101
0.744	-0.460007	4.911469	7.688782	9.135179	-0.241	4.559	7.142	8.479
0.765	-0.340988	5.113800	8.110107	9.593803	-0.349	4.779	7.503	8.903
0.784	-0.383835	5.297089	8.669495	10.166937	-0.403	4.987	7.936	9.382
0.806	-0.217209	5.413727	9.028931	10.529825	-0.351	5.184	8.374	9.856
0.824	-0.429062	5.499420	8.959900	10.521764	-0.343	5.331	8.692	10.203
0.845	-0.207687	5.732697	9.050354	10.715215	-0.309	5.486	8.927	10.483
0.866	0.201736	5.766022	9.286011	10.932415	-0.163	5.603	9.081	10.675
0.887	0.739700	6.061188	9.747803	11.502383	0.076	5.765	9.261	10.918
0.905	1.006302	5.399445	13.442139	14.520941	0.435	5.740	10.382	11.918
0.926	0.946793	4.568695	14.310974	15.052355	0.724	5.449	11.697	13.002
0.946	0.818253	3.683197	11.982971	12.562925	0.878	4.928	12.371	13.410
0.968	0.711136	3.478485	9.528809	10.168764	0.871	4.282	12.316	13.076
0.987	0.668289	3.866486	8.498108	9.360244	0.786	3.899	11.080	11.786
1.009	0.932510	4.440155	8.414795	9.559986	0.783	3.867	9.606	10.413
1.026	1.263382	4.671051	8.757568	10.005492	0.894	4.114	8.800	9.774
1.047	1.460953	4.528229	8.831360	10.031558	1.081	4.376	8.625	9.739
1.067	1.482376	4.073578	8.729004	9.746127	1.285	4.428	8.683	9.836
1.087	1.363358	3.676056	8.981323	9.799811	1.393	4.237	8.825	9.896
1.107	1.015823	3.395172	8.719482	9.412144	1.331	3.918	8.815	9.747
1.127	0.789688	3.354706	7.512634	8.265430	1.163	3.625	8.486	9.306
1.147	0.689713	3.533234	6.598572	7.516688	0.965	3.490	7.953	8.749
1.168	0.587357	3.828400	6.977051	7.980029	0.771	3.528	7.452	8.294
1.188	0.242203	4.180695	7.222229	8.348501	0.577	3.724	7.078	8.028
1.210	0.327896	4.256866	7.107971	8.291663	0.462	3.950	6.976	8.034
