2016-03-03 21:05:36	Start
2016-03-03 21:05:36	Pause
2016-03-03 21:09:05	Start
2016-03-03 21:09:20	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
0.000	0.054153	0.095978	9.771606	9.772228	0.054	0.096	9.772	9.772
0.021	0.025589	0.143585	9.764465	9.765554	0.047	0.108	9.770	9.771
0.042	0.061295	0.134064	9.704956	9.706075	0.049	0.117	9.753	9.754
0.067	0.092239	0.145966	9.726379	9.727912	0.058	0.130	9.742	9.743
0.082	0.116043	0.145966	9.714478	9.716267	0.074	0.142	9.728	9.729
0.101	0.106522	0.155487	9.697815	9.699646	0.094	0.145	9.711	9.712
0.121	0.068436	0.098358	9.757324	9.758060	0.096	0.136	9.724	9.725
0.141	0.035110	0.086456	9.676392	9.676841	0.082	0.122	9.712	9.713
0.162	0.056534	0.134064	9.690674	9.691766	0.067	0.119	9.706	9.707
0.182	0.116043	0.138824	9.723999	9.725682	0.069	0.114	9.712	9.713
0.202	0.111282	0.167389	9.776367	9.778433	0.080	0.132	9.717	9.718
0.222	0.020828	0.117401	9.719238	9.719969	0.076	0.139	9.728	9.729
0.242	0.075577	0.131683	9.776367	9.777546	0.081	0.139	9.749	9.750
0.262	0.051773	0.091217	9.662109	9.662678	0.065	0.127	9.734	9.735
0.283	0.075577	0.136444	9.693054	9.694309	0.056	0.119	9.713	9.714
0.304	0.099380	0.134064	9.740662	9.742091	0.076	0.123	9.718	9.719
0.324	0.035110	0.119781	9.685913	9.686717	0.065	0.120	9.695	9.696
0.346	-0.041061	0.074554	9.693054	9.693428	0.042	0.116	9.703	9.704
0.364	0.035110	0.124542	9.771606	9.772463	0.032	0.113	9.723	9.724
209.116	0.056534	9.572235	1.076111	9.632699	0.021	2.473	7.557	9.696
209.135	-0.148178	9.684113	1.028503	9.739703	-0.024	4.864	5.392	9.710
209.153	0.006546	9.772186	1.080872	9.831783	-0.012	7.288	3.239	9.744
209.171	0.011307	9.707916	1.230835	9.785638	-0.018	9.684	1.104	9.747
209.191	-0.057724	9.593658	1.285583	9.679584	-0.047	9.689	1.156	9.759
209.211	-0.133896	9.626984	1.080872	9.688397	-0.043	9.675	1.170	9.746
209.232	-0.138657	9.605560	1.042786	9.662992	-0.080	9.634	1.160	9.704
209.255	-0.064865	9.622223	0.940430	9.668288	-0.099	9.612	1.087	9.675
209.272	-0.064865	9.643646	1.173706	9.715025	-0.101	9.625	1.059	9.684
209.292	-0.036301	9.643646	1.233215	9.722245	-0.076	9.629	1.098	9.692
209.312	0.016068	9.617462	1.038025	9.673331	-0.037	9.632	1.096	9.695
209.332	-0.074387	9.515106	1.161804	9.586061	-0.040	9.605	1.152	9.674
209.353	-0.052963	9.553192	1.190369	9.627215	-0.037	9.582	1.156	9.652
209.373	-0.117233	9.531769	1.216553	9.609805	-0.057	9.554	1.152	9.624
209.393	-0.124374	9.455597	1.211792	9.533741	-0.092	9.514	1.195	9.589
209.414	-0.091049	9.484161	1.187988	9.558709	-0.096	9.506	1.202	9.582
209.434	-0.133896	9.615082	1.240356	9.695680	-0.117	9.522	1.214	9.599
209.456	-0.207687	9.612701	1.076111	9.674977	-0.139	9.542	1.179	9.616
209.473	-0.221970	9.584137	1.090393	9.648519	-0.164	9.574	1.149	9.644
209.494	-0.186264	9.474640	1.166565	9.548003	-0.187	9.572	1.143	9.642
209.514	-0.121994	9.303253	1.199890	9.381106	-0.184	9.494	1.133	9.563
209.534	-0.041061	9.148529	1.395081	9.254379	-0.143	9.378	1.213	9.458
209.556	0.006546	8.886688	1.245117	8.973494	-0.086	9.203	1.252	9.289
209.576	0.089859	8.779572	1.104675	8.849252	-0.017	9.030	1.236	9.115
209.595	0.237442	8.817657	1.242737	8.907966	0.073	8.908	1.247	8.996
209.615	0.456436	9.153290	1.237976	9.247899	0.198	8.909	1.208	8.995
209.635	0.506424	9.884064	1.271301	9.978346	0.323	9.159	1.214	9.246
209.658	0.463577	10.591034	1.273682	10.677414	0.416	9.612	1.256	9.703
209.675	0.223160	11.012360	0.854736	11.047734	0.412	10.160	1.159	10.238
209.695	-0.193405	10.560089	0.516724	10.574493	0.250	10.512	0.979	10.569
209.716	-0.152939	9.767426	0.823792	9.803297	0.085	10.483	0.867	10.526
209.736	0.703995	9.103302	1.302246	9.222882	0.145	10.111	0.874	10.162
209.757	0.815872	9.407990	1.007080	9.496849	0.293	9.710	0.912	9.774
209.777	0.604019	9.995941	0.678589	10.037139	0.493	9.569	0.953	9.640
209.796	0.239822	10.522003	0.733337	10.550253	0.591	9.757	0.930	9.827
209.818	0.125565	10.738617	0.902344	10.777193	0.446	10.166	0.830	10.215
209.837	-0.033920	10.114960	0.933289	10.157981	0.234	10.343	0.812	10.381
209.862	-0.136276	9.465118	0.983276	9.517030	0.049	10.210	0.888	10.251
209.877	-0.124374	8.948578	0.980896	9.003037	-0.042	9.817	0.950	9.864
209.897	0.030350	8.739105	0.988037	8.794834	-0.066	9.317	0.971	9.368
209.917	0.104141	8.758148	1.340332	8.860728	-0.032	8.978	1.073	9.044
209.943	0.149368	8.981903	1.330811	9.081187	0.040	8.857	1.160	8.935
209.958	0.054153	9.353241	1.133240	9.421798	0.085	8.958	1.198	9.040
209.979	0.018448	9.403229	1.016602	9.458040	0.082	9.124	1.205	9.205
209.997	0.308853	9.472260	1.199890	9.552949	0.133	9.303	1.170	9.378
210.021	0.446915	9.496063	1.316528	9.597301	0.207	9.431	1.167	9.508
210.038	0.351700	9.479401	1.130859	9.553093	0.281	9.463	1.166	9.540
210.068	0.318375	9.500824	1.066589	9.565805	0.356	9.487	1.178	9.567
