2016-03-03 21:10:06	Start
2016-03-03 21:10:20	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
0.000	0.277908	9.700775	0.583374	9.722273	0.278	9.701	0.583	9.722
0.023	0.277908	9.769806	0.666687	9.796469	0.278	9.718	0.604	9.741
0.040	-0.064865	9.719818	0.685730	9.744192	0.192	9.723	0.630	9.746
0.061	0.163651	9.650787	0.695251	9.677182	0.164	9.710	0.658	9.735
0.083	0.251724	9.634125	0.880920	9.677590	0.157	9.694	0.732	9.724
0.101	0.144608	9.655548	0.676208	9.680278	0.124	9.665	0.735	9.695
0.122	0.035110	9.755524	0.245361	9.758672	0.149	9.674	0.624	9.698
0.142	0.027969	9.741241	0.604797	9.760038	0.115	9.697	0.602	9.719
0.162	0.339798	9.612701	0.833313	9.654735	0.137	9.691	0.590	9.713
0.182	0.325516	9.603180	0.733337	9.636638	0.182	9.678	0.604	9.703
0.202	0.127945	9.650787	0.495300	9.664336	0.205	9.652	0.667	9.679
0.223	0.101761	9.619843	0.457214	9.631239	0.224	9.622	0.630	9.647
0.241	0.097000	9.741241	0.521484	9.755672	0.163	9.654	0.552	9.672
0.263	0.216019	9.696014	0.647644	9.720020	0.136	9.677	0.530	9.693
0.283	0.275528	9.724579	0.692871	9.753124	0.173	9.695	0.580	9.715
0.304	0.206497	9.795990	0.683350	9.821966	0.199	9.739	0.636	9.763
0.325	0.127945	9.769806	0.607178	9.789492	0.206	9.747	0.658	9.771
0.350	0.335037	10.095917	0.799988	10.133103	0.236	9.847	0.696	9.874
0.365	0.563553	9.912628	0.778564	9.959114	0.308	9.894	0.717	9.926
0.383	0.711136	9.360382	0.471497	9.399190	0.434	9.785	0.664	9.820
0.406	0.544510	9.653168	0.735718	9.696464	0.539	9.756	0.696	9.797
0.425	0.465958	9.945953	0.233459	9.959599	0.571	9.718	0.555	9.754
0.448	0.515945	9.891205	0.442932	9.914551	0.559	9.713	0.471	9.742
0.465	0.677811	9.736481	0.114441	9.760716	0.551	9.807	0.382	9.833
0.484	1.042007	9.050934	0.383423	9.118782	0.675	9.656	0.294	9.688
0.505	0.649246	9.527008	-0.744873	9.578113	0.721	9.551	0.049	9.593
0.525	0.044632	9.617462	-0.399719	9.625868	0.603	9.483	-0.162	9.521
0.547	-0.095810	9.246124	-0.204529	9.248882	0.410	9.360	-0.241	9.393
0.566	0.361221	9.050934	-0.252136	9.061648	0.240	9.360	-0.400	9.379
0.584	0.408829	9.210419	-0.130737	9.220414	0.180	9.281	-0.247	9.289
0.605	0.030350	9.484161	0.085876	9.484599	0.176	9.248	-0.125	9.254
0.626	-0.250534	9.750763	0.109680	9.754598	0.137	9.374	-0.047	9.380
0.644	-0.533798	9.412750	-0.156921	9.429180	-0.086	9.465	-0.023	9.472
0.665	-0.614731	9.479401	-0.449707	9.509951	-0.342	9.532	-0.103	9.545
0.687	-0.881332	9.493683	-0.690125	9.559447	-0.570	9.534	-0.297	9.563
0.706	-0.905136	9.984039	-0.821045	10.058550	-0.734	9.592	-0.529	9.639
0.727	-0.640915	10.748138	-1.342346	10.850583	-0.761	9.926	-0.826	9.995
0.746	-0.236252	11.050446	-1.739868	11.189071	-0.666	10.319	-1.148	10.414
0.770	0.132706	11.174225	-1.870789	11.330524	-0.412	10.739	-1.444	10.857
0.786	0.370743	11.086151	-1.885071	11.251386	-0.093	11.015	-1.710	11.155
0.807	0.242203	10.286346	-1.585144	10.410584	0.127	10.899	-1.770	11.045
0.826	0.499283	9.569855	-1.618469	9.718583	0.311	10.529	-1.740	10.678
0.854	0.230301	8.941437	-1.818420	9.127376	0.336	9.971	-1.727	10.127
0.868	-0.205307	8.439178	-1.347107	8.548484	0.192	9.309	-1.592	9.451
0.888	-0.476669	8.415375	-1.078125	8.497535	0.012	8.841	-1.466	8.973
0.907	-0.519516	8.546295	-1.206665	8.646681	-0.243	8.586	-1.363	8.705
0.930	-0.462387	8.717682	-1.380432	8.838403	-0.416	8.530	-1.253	8.633
0.948	-0.471909	9.162811	-1.359009	9.275059	-0.483	8.711	-1.256	8.814
0.971	-0.579025	9.188995	-1.435181	9.318404	-0.508	8.904	-1.345	9.020
0.988	-0.229111	9.407990	-1.425659	9.518154	-0.436	9.119	-1.400	9.238
1.008	-0.207687	9.722198	-1.351868	9.817934	-0.372	9.370	-1.393	9.482
1.030	-0.245773	9.779327	-1.375671	9.878670	-0.315	9.525	-1.397	9.633
1.058	-0.507614	9.634125	-1.232849	9.725942	-0.298	9.636	-1.347	9.735
1.078	-0.507614	9.410370	-1.140015	9.492754	-0.367	9.637	-1.275	9.729
1.094	-0.607590	9.381805	-1.347107	9.497480	-0.467	9.551	-1.274	9.649
1.113	-0.871811	10.003082	-1.692261	10.182606	-0.624	9.607	-1.353	9.725
1.129	-1.012253	10.621979	-1.994568	10.854925	-0.750	9.854	-1.543	10.007
1.189	-0.748032	11.040924	-1.597046	11.180882	-0.810	10.262	-1.658	10.429
1.199	-0.286240	11.321808	-1.404236	11.412149	-0.730	10.747	-1.672	10.908
1.202	-0.264816	11.843109	-1.447083	11.934128	-0.578	11.207	-1.611	11.346
1.208	-0.726608	12.602448	-1.870789	12.761249	-0.506	11.702	-1.580	11.822
1.228	-1.047958	13.195160	-1.404236	13.310986	-0.581	12.241	-1.532	12.355
1.251	-0.802780	13.376068	-0.459229	13.408003	-0.711	12.754	-1.295	12.854
1.268	-0.902756	13.252289	-0.373535	13.288252	-0.870	13.106	-1.027	13.192
1.289	-0.897995	13.152313	-0.028381	13.182964	-0.913	13.244	-0.566	13.298
1.308	-0.026779	12.554840	0.050171	12.554969	-0.658	13.084	-0.203	13.109
1.329	0.989639	10.931427	1.330811	11.056516	-0.209	12.473	0.245	12.521
1.348	1.732315	9.446075	1.690247	9.751215	0.449	11.521	0.761	11.636
1.369	1.901321	8.274933	1.230835	8.579306	1.149	10.302	1.076	10.486
1.389	1.694229	7.582245	0.940430	7.825935	1.579	9.059	1.298	9.303
1.409	1.327652	7.727448	0.640503	7.866788	1.664	8.258	1.126	8.506
1.429	0.811111	8.815277	0.569092	8.870788	1.434	8.100	0.845	8.286
1.452	0.563553	10.533905	0.104919	10.549491	1.099	8.665	0.564	8.778
1.472	0.511185	10.488678	0.026367	10.501160	0.803	9.391	0.335	9.447
1.491	0.630203	10.619598	-0.325928	10.643273	0.629	10.114	0.094	10.141
1.510	0.713516	9.964996	-0.235474	9.993283	0.605	10.402	-0.108	10.422
1.531	0.470718	8.484406	-0.254517	8.501264	0.581	9.889	-0.197	9.910
1.550	0.063675	7.567963	-0.913879	7.623207	0.470	9.159	-0.432	9.190
1.573	-0.012497	6.975250	-0.613953	7.002229	0.309	8.248	-0.504	8.280
1.591	0.499283	6.791962	0.069214	6.810640	0.255	7.455	-0.428	7.484
1.611	0.656387	6.553925	0.054932	6.586941	0.302	6.972	-0.351	7.006
1.631	0.475479	6.544403	-0.206909	6.564915	0.405	6.716	-0.174	6.741
1.658	0.047012	6.903839	-0.156921	6.905782	0.420	6.699	-0.060	6.717
1.677	0.304092	7.820282	-0.121216	7.827131	0.371	6.956	-0.108	6.971
1.694	0.549271	8.896210	0.195374	8.915291	0.344	7.541	-0.072	7.553
1.715	0.725418	9.822174	0.269165	9.852603	0.406	8.361	0.047	8.375
1.734	0.877762	10.514862	0.004944	10.551437	0.614	9.263	0.087	9.287
1.752	0.818253	11.464630	-0.183105	11.495252	0.743	10.174	0.072	10.204
1.775	0.282669	12.300140	-0.147400	12.304271	0.676	11.025	-0.014	11.051
1.795	0.475479	13.497467	-0.778198	13.528240	0.614	11.944	-0.276	11.970
1.818	0.513565	14.125885	-0.918640	14.165037	0.522	12.847	-0.507	12.873
1.839	0.846817	14.178253	0.050171	14.203608	0.530	13.525	-0.449	13.550
1.858	1.349075	13.811676	1.138000	13.923988	0.796	13.903	-0.127	13.955
1.875	1.218155	11.662201	1.009460	11.769020	0.982	13.445	0.320	13.515
1.895	-0.224350	9.629364	1.154663	9.700939	0.797	12.320	0.838	12.399
1.912	-1.285995	8.208282	1.040405	8.373299	0.264	10.828	1.086	10.942
1.933	-1.428818	8.229706	0.916626	8.402963	-0.430	9.432	1.030	9.562
1.955	-1.838242	9.036652	0.645264	9.244272	-1.194	8.776	0.939	8.930
1.988	-1.659714	9.853119	0.664307	10.013986	-1.553	8.832	0.817	9.009
1.996	-1.509750	10.436310	0.795227	10.574890	-1.609	9.389	0.755	9.559
2.014	-1.040817	10.131622	0.423889	10.193760	-1.512	9.864	0.632	10.007
2.033	-0.921799	9.726959	-0.811523	9.804184	-1.283	10.037	0.268	10.147
2.058	-0.809921	9.522247	-1.230469	9.635519	-1.071	9.954	-0.206	10.052
2.075	-0.371933	9.227081	-0.654419	9.257733	-0.786	9.652	-0.568	9.723
2.095	-0.200546	8.460602	-0.254517	8.466805	-0.576	9.234	-0.738	9.291
2.119	-0.219589	7.791718	-0.430664	7.806699	-0.400	8.750	-0.643	8.792
2.142	-0.559982	7.310883	-0.556824	7.353410	-0.338	8.198	-0.474	8.221
2.161	-0.505234	7.139496	-0.599670	7.182428	-0.371	7.676	-0.460	7.702
2.185	-0.269577	7.344208	-0.168823	7.351092	-0.389	7.397	-0.439	7.423
2.199	-0.141037	7.472748	-0.149780	7.475579	-0.369	7.317	-0.369	7.341
2.217	-0.041061	7.677460	-0.216431	7.680619	-0.239	7.408	-0.284	7.422
2.235	-0.412399	7.872650	-0.778198	7.921760	-0.216	7.592	-0.328	7.607
2.264	-0.890854	8.263031	-0.490173	8.325357	-0.371	7.821	-0.409	7.851
2.310	-0.824203	8.727203	-0.540161	8.782663	-0.542	8.135	-0.506	8.178
2.313	-0.505234	9.346100	-0.097412	9.360253	-0.658	8.552	-0.476	8.598
2.317	-0.329086	9.843597	0.461975	9.859926	-0.637	9.045	-0.166	9.082
2.336	-1.326462	10.486298	-0.335449	10.575182	-0.746	9.601	-0.128	9.645
2.376	-2.059616	11.207550	-1.823181	11.540155	-1.055	10.221	-0.449	10.334
2.378	-1.673996	12.157318	-2.249268	12.476452	-1.347	10.924	-0.986	11.113
2.397	-0.633774	13.864044	-0.637756	13.893168	-1.423	11.929	-1.261	12.121
2.421	0.047012	14.480560	0.185852	14.481830	-1.080	12.927	-1.131	13.098
2.444	0.442154	13.333221	0.354858	13.345270	-0.455	13.459	-0.587	13.549
2.470	0.975357	11.174225	0.840454	11.248155	0.208	13.213	0.186	13.242
