2016-03-03 21:16:27	Start
2016-03-03 21:16:40	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
0.000	0.680191	3.185699	10.138184	10.648667	0.680	3.186	10.138	10.649
0.016	0.675430	3.176178	9.490723	10.030859	0.679	3.183	9.976	10.494
0.037	0.765884	3.166656	9.157471	9.719751	0.700	3.179	9.731	10.262
0.067	0.646866	3.230927	9.078918	9.658368	0.692	3.190	9.466	10.014
0.079	0.606400	3.278534	9.188416	9.774635	0.674	3.213	9.229	9.796
0.096	0.554031	3.385651	9.128906	9.752256	0.643	3.265	9.138	9.726
0.117	0.584976	3.421356	8.983704	9.630930	0.598	3.329	9.095	9.704
0.139	0.542130	3.259491	9.009888	9.596680	0.572	3.336	9.078	9.689
0.160	0.425491	3.207123	8.952759	9.519379	0.527	3.318	9.019	9.625
0.179	0.327896	2.966705	8.871826	9.360457	0.470	3.214	8.955	9.527
0.204	0.139847	2.873871	8.526672	8.999046	0.359	3.077	8.840	9.369
0.219	-0.050583	2.942902	8.621887	9.110443	0.211	2.998	8.743	9.247
0.242	-0.262436	3.052399	9.012268	9.518770	0.039	2.959	8.758	9.247
0.259	-0.569504	3.052399	10.023926	10.493834	-0.186	2.980	9.046	9.531
0.284	-0.500473	2.916718	11.364075	11.743080	-0.346	2.991	9.756	10.217
0.300	-0.260056	2.645355	10.219116	10.559161	-0.398	2.917	10.155	10.579
0.325	-0.317184	2.452545	8.010132	8.383185	-0.412	2.767	9.904	10.295
0.340	-0.390976	2.881012	8.500488	8.983952	-0.367	2.724	9.523	9.917
0.361	-0.336227	3.690338	10.023926	10.686942	-0.326	2.917	9.188	9.653
0.382	0.008926	3.892670	10.626160	11.316723	-0.259	3.229	9.290	9.843
0.406	0.104141	3.764130	9.526428	10.243650	-0.154	3.557	9.669	10.308
0.422	0.294571	3.721283	8.579041	9.355996	0.018	3.767	9.689	10.401
0.441	0.446915	3.718903	8.398132	9.195575	0.214	3.774	9.282	10.028
0.461	0.325516	3.647491	8.855164	9.582488	0.293	3.713	8.840	9.594
0.486	0.277908	3.780792	8.550476	9.353195	0.336	3.717	8.596	9.372
0.508	0.218399	3.730804	8.341003	9.139964	0.317	3.719	8.536	9.318
0.524	0.301712	3.518951	8.731384	9.418658	0.281	3.670	8.620	9.374
0.541	0.308853	3.254730	8.836121	9.421554	0.277	3.571	8.615	9.333
0.561	-0.262436	3.185699	8.593323	9.168574	0.142	3.423	8.625	9.287
0.581	-0.583786	3.378510	8.414795	9.086469	-0.059	3.334	8.644	9.274
0.609	-0.917038	3.768890	8.371948	9.226863	-0.364	3.397	8.554	9.226
0.625	-0.997971	4.087860	8.717102	9.679587	-0.690	3.605	8.524	9.290
0.643	-0.757553	4.254486	9.226501	10.188369	-0.814	3.872	8.683	9.545
0.662	-0.498093	4.275909	9.319336	10.265550	-0.793	4.097	8.909	9.840
0.693	0.042252	4.285431	9.226501	10.173250	-0.553	4.226	9.122	10.077
0.705	0.199356	4.283051	9.309814	10.249728	-0.254	4.275	9.271	10.219
0.725	0.387405	4.344940	10.119141	11.019328	0.033	4.297	9.494	10.427
0.742	0.513565	4.499664	10.638062	11.561967	0.286	4.353	9.823	10.751
0.763	0.623062	4.337799	10.821350	11.675030	0.431	4.366	10.222	11.127
0.785	0.639725	3.790314	11.092712	11.739846	0.541	4.243	10.668	11.499
0.810	0.404068	3.076202	11.504517	11.915544	0.545	3.926	11.014	11.723
0.823	0.451675	2.452545	12.287659	12.538164	0.530	3.414	11.427	11.967
0.844	1.122940	1.664642	13.323120	13.473587	0.655	2.746	12.052	12.417
0.864	1.739456	1.107635	14.594238	14.739211	0.930	2.075	12.927	13.167
0.887	1.280045	1.031464	13.701599	13.799865	1.149	1.564	13.477	13.638
0.904	0.494522	1.248077	11.987732	12.062668	1.159	1.263	13.402	13.519
0.929	-0.119614	1.395660	10.078674	10.175551	0.849	1.196	12.591	12.694
0.946	-0.048203	1.471832	9.262207	9.378545	0.402	1.287	11.258	11.354
0.964	0.632584	1.388519	8.755188	8.887152	0.240	1.376	10.021	10.126
0.985	1.510941	1.238556	8.926575	9.137872	0.494	1.374	9.256	9.395
1.013	2.039383	1.245697	8.964661	9.277715	1.034	1.336	8.977	9.170
1.030	2.056046	1.183807	9.281250	9.579683	1.560	1.264	8.982	9.221
1.045	2.134598	1.152863	9.812073	10.107540	1.935	1.205	9.246	9.526
1.067	2.194107	0.895782	9.859680	10.140504	2.106	1.120	9.479	9.776
1.087	1.996536	0.971954	9.245544	9.508467	2.095	1.051	9.550	9.834
1.106	1.741837	1.160004	8.726624	8.974049	2.017	1.045	9.411	9.683
1.129	1.629959	1.533722	8.214844	8.514266	1.891	1.140	9.012	9.284
1.147	1.315750	1.821747	7.731628	8.051586	1.671	1.372	8.480	8.762
1.166	1.001541	2.047882	7.107971	7.464594	1.422	1.641	7.945	8.251
1.186	0.746841	2.140717	6.541443	6.923215	1.174	1.886	7.399	7.738
1.217	0.554031	2.128815	6.553345	6.912679	0.905	2.035	6.984	7.338
1.239	0.525467	2.150238	6.984192	7.326567	0.707	2.117	6.797	7.157
1.246	0.706375	2.243073	7.572144	7.928915	0.633	2.166	6.913	7.273
1.266	0.751602	2.257355	8.224365	8.561585	0.634	2.195	7.334	7.682
1.288	0.582596	2.228790	9.014648	9.304344	0.642	2.220	7.949	8.280
1.308	0.401688	2.390656	9.919189	10.211117	0.611	2.280	8.683	9.001
