2016-03-03 21:27:05	Start
2016-03-03 21:27:17	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
0.000	0.344765	9.519346	0.402226	9.534076	0.345	9.519	0.402	9.534
0.019	0.526724	9.528923	0.373495	9.550775	0.390	9.522	0.395	9.538
0.039	0.679953	9.471462	0.545878	9.511515	0.474	9.510	0.431	9.533
0.059	0.584185	9.433155	0.517148	9.465364	0.534	9.488	0.460	9.515
0.078	0.440533	9.461885	0.440533	9.482374	0.558	9.474	0.469	9.503
0.100	0.459687	9.404425	0.689530	9.440867	0.541	9.443	0.548	9.475
0.119	0.497994	9.366117	0.900220	9.422450	0.496	9.416	0.637	9.453
0.138	0.632069	9.481039	0.794875	9.535273	0.508	9.428	0.706	9.470
0.159	0.517148	9.643845	0.488417	9.670043	0.527	9.474	0.718	9.517
0.178	0.335188	9.615114	0.488417	9.633344	0.496	9.527	0.668	9.565
0.203	0.622492	9.385271	0.900220	9.448873	0.527	9.531	0.668	9.572
0.217	0.201113	9.490616	0.651223	9.515058	0.419	9.534	0.632	9.567
0.236	0.038307	9.835381	0.210690	9.837711	0.299	9.582	0.563	9.609
0.254	-0.038307	10.132261	-0.067038	10.132555	0.206	9.711	0.424	9.734
0.274	0.143652	9.710882	-0.076614	9.712247	0.086	9.792	0.180	9.799
0.293	0.258574	9.097966	0.239420	9.104788	0.101	9.694	0.077	9.697
0.315	0.555455	8.810662	0.708684	8.856553	0.230	9.438	0.201	9.452
0.332	0.440533	8.714894	1.149217	8.801372	0.350	9.084	0.505	9.119
0.352	0.411803	8.829816	1.225831	8.924006	0.417	8.863	0.831	8.922
0.373	0.536301	8.935161	1.350330	9.052519	0.486	8.823	1.109	8.909
0.391	0.593762	8.724471	1.130063	8.817369	0.496	8.801	1.214	8.899
0.410	0.679953	8.992621	-0.019154	9.018311	0.555	8.871	0.922	8.953
0.433	0.948104	9.337387	-0.670376	9.409309	0.690	8.997	0.448	9.074
0.450	0.986411	9.595961	-1.244985	9.726533	0.802	9.163	-0.201	9.243
0.469	0.775721	9.959879	-1.168370	10.058132	0.848	9.471	-0.776	9.553
0.489	0.727837	9.787497	-2.825158	10.213048	0.860	9.670	-1.477	9.852
0.508	0.727837	9.567230	-4.663905	10.668348	0.804	9.728	-2.476	10.167
0.528	1.484405	9.232041	-3.773262	10.083231	0.929	9.637	-3.108	10.256
0.549	2.537854	9.203311	-1.292869	9.633958	1.369	9.448	-3.139	10.150
0.567	2.001553	9.758766	-1.991976	10.159119	1.688	9.440	-2.931	10.136
0.587	1.024718	9.892841	-1.924938	10.130338	1.762	9.522	-2.246	10.002
0.606	0.478840	9.481039	-1.244985	9.574412	1.511	9.584	-1.614	9.874
0.625	-0.038307	9.078813	-0.890643	9.122475	0.867	9.553	-1.513	9.747
0.645	-0.134075	8.772355	-0.670376	8.798954	0.333	9.306	-1.183	9.407
0.665	-0.057461	8.753201	-0.488417	8.767006	0.062	9.021	-0.824	9.066
0.685	-0.095768	8.753201	-0.507571	8.768428	-0.081	8.839	-0.639	8.864
0.705	0.009577	8.772355	-0.833182	8.811839	-0.069	8.763	-0.625	8.787
0.723	0.248997	8.791509	-1.139640	8.868563	0.026	8.768	-0.742	8.804
0.741	0.383072	8.944737	-1.063026	9.015825	0.136	8.815	-0.886	8.866
0.763	0.526724	8.992621	-1.091756	9.073952	0.292	8.875	-1.032	8.943
0.782	0.469264	9.270349	-1.359907	9.381306	0.407	9.000	-1.164	9.085
0.801	0.488417	9.567230	-2.001553	9.786555	0.467	9.194	-1.379	9.314
0.822	0.689530	9.605537	-1.666364	9.773360	0.543	9.359	-1.530	9.504
0.840	0.718261	9.988609	-1.359907	10.106313	0.591	9.608	-1.597	9.762
0.859	0.239420	10.467450	-1.522712	10.580335	0.534	9.907	-1.638	10.062
0.880	0.038307	11.176133	-1.015141	11.222207	0.421	10.309	-1.391	10.421
0.900	0.402226	11.568783	-0.737414	11.599237	0.350	10.800	-1.159	10.877
0.918	1.063026	11.568783	-0.450110	11.626236	0.436	11.195	-0.931	11.257
0.939	1.513135	11.865664	-0.737414	11.984462	0.754	11.545	-0.735	11.608
0.957	1.695095	12.890382	-1.695095	13.111394	1.168	11.973	-0.905	12.080
0.978	1.580173	14.844050	-1.934515	15.052745	1.463	12.792	-1.204	12.944
0.998	0.622492	16.203957	-1.417367	16.277734	1.353	13.951	-1.446	14.107
1.018	-0.469264	15.169662	0.976834	15.208322	0.857	14.777	-1.018	14.913
1.036	-0.785298	11.559206	4.845864	12.558438	0.237	14.444	0.618	14.774
1.056	-0.392649	8.178593	4.223372	9.213057	-0.256	12.778	2.157	13.314
1.074	1.063026	5.257667	2.135628	5.773560	-0.146	10.041	3.045	10.688
1.099	1.024718	4.050989	-0.038307	4.178759	0.227	7.262	2.792	7.931
1.113	-0.497994	4.242526	-1.934515	4.689282	0.299	5.432	1.097	5.964
1.134	-1.829170	6.416461	-3.763685	7.660428	-0.060	4.992	-0.900	5.576
1.154	-2.308010	9.174581	-4.414908	10.439887	-0.903	5.971	-2.538	6.742
1.174	-1.302446	10.314221	-3.179500	10.871465	-1.484	7.537	-3.323	8.415
1.192	-2.336741	9.902418	0.229843	10.176987	-1.944	8.952	-2.782	9.787
1.214	-0.402226	8.274361	2.183512	8.567062	-1.587	9.416	-1.295	10.014
1.231	0.172383	7.201759	2.049437	7.489675	-0.967	8.923	0.321	9.276
1.251	0.268151	7.010222	-0.986411	7.084358	-0.575	8.097	0.869	8.330
1.271	0.000000	6.742072	-2.710236	7.266424	0.010	7.307	0.134	7.602
1.291	-0.162806	6.809110	-2.834735	7.377412	0.069	6.941	-1.120	7.304
1.309	0.028730	7.383718	-1.762132	7.591128	0.034	6.986	-2.073	7.330
1.331	0.268151	8.073248	-0.172383	8.079539	0.034	7.252	-1.870	7.579
1.348	0.316035	8.743625	0.861913	8.791686	0.113	7.752	-0.977	7.960
1.368	-0.114922	9.203311	0.038307	9.204108	0.124	8.351	-0.259	8.417
1.388	-0.478840	10.429143	-1.216254	10.510737	-0.002	9.112	-0.122	9.147
1.407	-1.149217	12.746730	-2.710236	13.082248	-0.357	10.281	-0.757	10.397
1.429	-1.350330	15.179238	-2.911349	15.514787	-0.773	11.890	-1.700	12.078
1.448	-0.612916	15.993267	-2.164358	16.150687	-0.898	13.587	-2.251	13.815
1.467	0.507571	15.265430	-0.038307	15.273915	-0.651	14.796	-1.956	15.005
1.485	0.038307	14.528016	0.632069	14.541809	-0.354	15.241	-1.120	15.370
1.507	0.526724	12.200851	1.589750	12.315255	0.115	14.497	0.005	14.570
