2016-03-03 21:23:40	Start
2016-03-03 21:23:59	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
0.000	0.210690	9.442732	0.679953	9.469525	0.211	9.443	0.680	9.470
0.026	0.268151	9.538500	1.235408	9.621908	0.225	9.467	0.819	9.508
0.041	0.220267	9.576807	0.746991	9.608421	0.227	9.500	0.836	9.542
0.060	0.143652	9.576807	0.670376	9.601316	0.211	9.534	0.833	9.575
0.081	0.114922	9.567230	0.881066	9.608401	0.187	9.565	0.883	9.610
0.099	0.162806	9.557653	0.775721	9.590463	0.160	9.570	0.769	9.602
0.119	0.239420	9.538500	0.746991	9.570700	0.165	9.560	0.769	9.593
0.137	0.287304	9.509769	0.794875	9.547255	0.201	9.543	0.800	9.579
0.157	0.287304	9.490616	0.852336	9.533143	0.244	9.524	0.792	9.560
0.176	0.268151	9.442732	0.814029	9.481547	0.271	9.495	0.802	9.533
0.199	0.325611	9.414001	0.804452	9.453919	0.292	9.464	0.816	9.504
0.217	0.373495	9.414001	0.957681	9.469956	0.314	9.440	0.857	9.485
0.236	0.459687	9.356541	0.957681	9.416651	0.357	9.407	0.883	9.456
0.255	0.497994	9.327810	0.948104	9.389087	0.414	9.378	0.917	9.432
0.274	0.306458	9.452309	1.053449	9.515767	0.409	9.388	0.979	9.448
0.294	0.191536	9.528923	0.995988	9.582748	0.364	9.416	0.989	9.476
0.315	0.095768	9.528923	0.928950	9.574575	0.273	9.459	0.982	9.516
0.335	0.028730	9.519346	0.957681	9.567441	0.156	9.507	0.984	9.560
0.353	-0.019154	9.471462	0.976834	9.521721	0.074	9.512	0.965	9.562
0.374	-0.124498	9.461885	0.948104	9.510083	-0.005	9.495	0.953	9.543
0.394	-0.153229	9.490616	0.967257	9.541009	-0.067	9.486	0.962	9.535
0.412	-0.076614	9.500193	0.928950	9.545809	-0.093	9.481	0.955	9.530
0.432	0.009577	9.481039	0.919373	9.525515	-0.086	9.483	0.941	9.531
0.451	0.067038	9.308656	0.986411	9.361013	-0.038	9.445	0.950	9.493
0.470	0.134075	9.212888	0.986411	9.266514	0.034	9.376	0.955	9.425
0.488	0.181959	9.260772	1.053449	9.322272	0.098	9.316	0.986	9.369
0.508	0.220267	9.289502	1.216254	9.371374	0.151	9.268	1.061	9.330
0.529	0.325611	9.212888	1.216254	9.298527	0.215	9.244	1.118	9.315
0.548	0.430956	9.078813	1.168370	9.163823	0.290	9.210	1.164	9.289
0.567	0.622492	9.040505	1.168370	9.136921	0.400	9.155	1.192	9.243
0.587	0.622492	9.385271	1.417367	9.512084	0.500	9.179	1.243	9.278
0.605	0.909797	9.404425	1.742979	9.607752	0.646	9.227	1.374	9.355
0.625	0.948104	9.241618	1.628057	9.431701	0.776	9.268	1.489	9.422
0.645	1.005565	9.490616	1.407791	9.647011	0.871	9.380	1.549	9.550
0.666	0.995988	9.653421	1.666364	9.846690	0.965	9.448	1.611	9.633
0.684	0.727837	9.902418	1.800440	10.091046	0.919	9.572	1.626	9.754
0.706	0.641646	9.768343	1.810017	9.955320	0.843	9.704	1.671	9.885
0.723	0.612916	9.519346	1.695095	9.688496	0.745	9.711	1.743	9.895
0.745	0.689530	9.308656	1.704672	9.488542	0.668	9.625	1.753	9.806
0.763	0.814029	9.145850	1.666364	9.331988	0.690	9.436	1.719	9.616
0.782	0.986411	9.069236	1.733402	9.285943	0.776	9.261	1.700	9.449
0.802	0.995988	9.040505	1.637634	9.241459	0.871	9.141	1.686	9.337
0.822	0.957681	9.050082	1.618480	9.243410	0.939	9.076	1.664	9.276
0.840	0.938527	9.088389	1.742979	9.301485	0.970	9.062	1.683	9.268
0.864	0.928950	9.107543	1.810017	9.332012	0.955	9.072	1.702	9.280
0.881	0.842759	9.088389	1.838747	9.310749	0.917	9.084	1.753	9.297
0.901	0.708684	9.011775	1.704672	9.198926	0.855	9.074	1.774	9.286
