2016-03-03 20:45:19	Start
2016-03-03 20:45:40	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
0.000	-0.277727	9.442732	0.545878	9.462574	-0.278	9.443	0.546	9.463
0.021	-0.296881	9.375694	1.379060	9.481223	-0.283	9.426	0.754	9.467
0.040	-0.373495	9.433155	1.110910	9.505684	-0.306	9.424	0.895	9.478
0.061	-0.402226	9.519346	0.928950	9.573019	-0.338	9.443	0.991	9.506
0.080	-0.430956	9.538500	0.928950	9.593313	-0.376	9.467	1.087	9.538
0.100	-0.421380	9.557653	0.986411	9.617656	-0.407	9.512	0.989	9.572
0.118	-0.430956	9.490616	0.995988	9.552461	-0.421	9.527	0.960	9.584
0.138	-0.402226	9.423578	0.948104	9.479690	-0.421	9.503	0.965	9.561
0.157	-0.344765	9.442732	0.967257	9.498402	-0.400	9.479	0.974	9.537
0.177	-0.335188	9.461885	0.957681	9.516133	-0.378	9.455	0.967	9.512
0.196	-0.296881	9.471462	0.967257	9.525351	-0.345	9.450	0.960	9.505
0.215	-0.229843	9.452309	0.995988	9.507416	-0.302	9.457	0.972	9.512
0.234	-0.172383	9.423578	1.043872	9.482785	-0.259	9.452	0.991	9.508
0.255	-0.114922	9.366117	1.072602	9.428035	-0.204	9.428	1.020	9.486
0.274	-0.124498	9.318233	1.120486	9.386185	-0.160	9.390	1.058	9.451
0.295	-0.268151	9.366117	1.091756	9.433345	-0.170	9.369	1.082	9.433
0.314	-0.411803	9.404425	1.053449	9.472198	-0.230	9.364	1.085	9.430
0.334	-0.450110	9.366117	1.082179	9.439167	-0.314	9.364	1.087	9.433
0.355	-0.459687	9.327810	1.024718	9.395180	-0.397	9.366	1.063	9.435
0.374	-0.277727	9.289502	1.110910	9.359814	-0.400	9.347	1.068	9.417
0.399	-0.143652	9.260772	0.871489	9.302796	-0.333	9.311	1.022	9.374
0.414	-0.105345	9.145850	0.804452	9.181765	-0.247	9.256	0.953	9.310
0.432	-0.057461	9.126697	0.861913	9.167486	-0.146	9.206	0.912	9.253
0.451	0.124498	9.404425	1.120486	9.471758	-0.045	9.234	0.915	9.281
0.469	0.229843	9.615114	1.321599	9.708238	0.048	9.323	1.027	9.382
0.489	0.325611	9.586384	1.369483	9.689183	0.156	9.433	1.168	9.509
0.512	0.296881	9.615114	1.436521	9.726364	0.244	9.555	1.312	9.649
0.528	0.143652	9.643845	1.723825	9.797752	0.249	9.615	1.463	9.730
0.548	-0.019154	9.643845	2.030283	9.855260	0.187	9.622	1.640	9.767
0.567	-0.153229	9.749189	2.154782	9.985652	0.067	9.663	1.836	9.841
0.587	-0.287304	9.701305	2.164358	9.943959	-0.079	9.685	2.018	9.896
0.606	-0.325611	9.442732	2.212242	9.703877	-0.196	9.634	2.140	9.872
0.629	-0.306458	9.069236	2.068590	9.307203	-0.268	9.491	2.150	9.735
0.645	-0.210690	8.868123	1.991976	9.091532	-0.283	9.270	2.109	9.512
0.666	-0.134075	8.772355	1.867477	8.969931	-0.244	9.038	2.035	9.268
0.684	0.019154	8.801085	2.126051	9.054257	-0.158	8.878	2.014	9.106
0.705	0.076614	8.935161	2.087744	9.176145	-0.062	8.844	2.018	9.073
0.726	0.153229	9.040505	2.097321	9.281862	0.029	8.887	2.045	9.121
0.745	0.124498	9.107543	2.193089	9.368697	0.093	8.971	2.126	9.220
0.763	0.086191	9.030929	2.346318	9.331147	0.110	9.029	2.181	9.289
0.782	0.076614	8.935161	2.308010	9.228753	0.110	9.029	2.236	9.303
0.802	0.028730	8.906430	2.202666	9.174806	0.079	8.995	2.263	9.276
0.821	0.009577	8.829816	2.202666	9.100411	0.050	8.926	2.265	9.209
0.842	0.057461	8.829816	2.193089	9.098274	0.043	8.875	2.227	9.151
0.861	0.076614	8.935161	2.240973	9.212216	0.043	8.875	2.210	9.146
0.880	0.076614	9.040505	2.221819	9.309838	0.055	8.909	2.215	9.180
0.900	0.086191	9.002198	2.183512	9.263624	0.074	8.952	2.210	9.221
0.919	0.028730	8.935161	2.250550	9.214277	0.067	8.978	2.224	9.250
