2016-03-03 20:59:39	Start
2016-03-03 20:59:59	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
0.000	-0.928950	8.140285	3.600879	8.949498	-0.929	8.140	3.601	8.949
0.022	-0.785298	8.331821	4.252102	9.387029	-0.893	8.188	3.764	9.059
0.040	-0.670376	8.370130	4.587290	9.568265	-0.828	8.246	4.010	9.214
0.062	-0.660800	8.178593	4.730943	9.471423	-0.761	8.255	4.293	9.344
0.080	-0.402226	8.293514	4.788404	9.585039	-0.630	8.294	4.590	9.503
0.100	-0.277727	8.341399	4.654328	9.556089	-0.503	8.296	4.690	9.545
0.119	-0.086191	8.293514	4.625597	9.496629	-0.357	8.277	4.700	9.527
0.138	-0.191536	8.303091	4.510676	9.451149	-0.239	8.308	4.645	9.522
0.157	-0.172383	8.303091	4.462792	9.428019	-0.182	8.310	4.563	9.483
0.178	-0.153229	8.303091	4.778827	9.581335	-0.151	8.301	4.594	9.489
0.198	-0.086191	8.379706	5.046977	9.782581	-0.151	8.322	4.700	9.561
0.216	-0.134075	8.293514	5.046977	9.709394	-0.136	8.320	4.834	9.625
0.235	0.009577	8.015787	4.893748	9.391576	-0.091	8.248	4.942	9.616
0.257	0.009577	7.862558	4.568137	9.093283	-0.050	8.138	4.889	9.494
0.274	-0.373495	8.025364	4.462792	9.190347	-0.122	8.049	4.743	9.346
0.296	-0.411803	8.216900	4.539406	9.396448	-0.192	8.030	4.616	9.268
0.314	-0.335188	8.188169	4.386178	9.295000	-0.278	8.073	4.489	9.244
0.336	-0.670376	8.216900	4.156334	9.232657	-0.448	8.162	4.386	9.279
0.353	-0.775721	8.283937	4.127604	9.287759	-0.548	8.226	4.302	9.303
0.373	-0.689530	8.264784	4.319140	9.350779	-0.618	8.238	4.247	9.292
0.391	-0.651223	8.350976	4.577713	9.545593	-0.697	8.279	4.295	9.354
0.412	-0.689530	8.437167	4.721366	9.692912	-0.702	8.334	4.436	9.469
0.438	-0.679953	8.485051	4.606444	9.678727	-0.678	8.384	4.556	9.567
0.448	-0.670376	8.360553	4.501099	9.518831	-0.673	8.408	4.602	9.609
0.470	-0.363919	8.159439	4.271256	9.216969	-0.601	8.361	4.525	9.527
0.489	-0.181959	8.025364	4.012682	8.974474	-0.474	8.258	4.348	9.347
0.513	-0.086191	7.987057	3.773262	8.833912	-0.326	8.133	4.140	9.136
0.531	-0.134075	7.958326	3.552995	8.716462	-0.192	8.033	3.903	8.935
0.550	-0.143652	8.015787	3.658340	8.812317	-0.136	7.997	3.749	8.834
0.567	0.000000	8.101978	3.907337	8.994961	-0.091	8.016	3.723	8.839
0.587	-0.038307	8.149862	3.945644	9.054824	-0.079	8.056	3.766	8.895
0.606	-0.028730	8.188169	3.926491	9.080984	-0.053	8.114	3.859	8.986
0.630	-0.038307	8.264784	4.108450	9.229707	-0.026	8.176	3.972	9.090
0.646	-0.038307	8.418014	4.328717	9.465844	-0.036	8.255	4.077	9.208
0.665	-0.067038	8.571242	4.395754	9.632930	-0.043	8.361	4.190	9.352
0.684	-0.134075	8.638280	4.299986	9.650271	-0.069	8.473	4.283	9.495
0.704	-0.335188	8.781932	4.223372	9.750464	-0.144	8.602	4.312	9.625
0.723	-0.325611	8.848969	4.108450	9.761641	-0.215	8.710	4.257	9.699
0.745	-0.268151	8.848969	3.974375	9.704217	-0.266	8.780	4.152	9.717
0.764	-0.201113	8.906430	3.821146	9.693611	-0.283	8.847	4.032	9.727
0.783	-0.325611	9.059659	4.050989	9.929449	-0.280	8.916	3.989	9.772
0.803	-0.220267	9.346964	4.481946	10.368321	-0.254	9.041	4.082	9.924
0.822	0.009577	9.844957	4.912902	11.002722	-0.184	9.290	4.317	10.249
0.843	0.191536	10.314221	4.759673	11.361089	-0.086	9.641	4.551	10.665
0.862	0.143652	10.026917	4.472369	10.980063	0.031	9.883	4.657	10.928
0.881	0.555455	9.691729	4.702212	10.786516	0.225	9.969	4.712	11.033
0.900	0.823605	9.394848	4.922479	10.638247	0.429	9.857	4.714	10.941
0.920	0.766145	8.983045	5.516241	10.569341	0.572	9.524	4.903	10.744
0.940	0.641646	8.638280	6.445191	10.796855	0.697	9.177	5.397	10.698
0.959	0.402226	8.169016	7.929596	11.391800	0.658	8.796	6.203	10.849
0.979	0.497994	8.092402	8.944737	12.072418	0.577	8.471	7.209	11.208
0.998	0.737414	8.121132	9.088389	12.210462	0.570	8.255	8.102	11.618
1.018	0.459687	7.948750	7.536947	10.963553	0.524	8.083	8.375	11.660
1.037	0.306458	7.671022	5.793968	9.618138	0.500	7.958	7.841	11.216
1.057	0.536301	7.527370	4.941632	9.020457	0.510	7.817	6.840	10.453
1.076	0.660800	7.201759	4.702212	8.626285	0.491	7.587	5.744	9.557
1.097	0.459687	7.000646	5.171476	8.715762	0.491	7.350	5.152	8.995
1.114	0.277727	6.885724	5.650316	8.911588	0.484	7.154	5.116	8.819
1.135	-0.047884	6.818686	5.698200	8.886296	0.338	6.977	5.306	8.785
1.154	-0.248997	6.761226	5.161899	8.510075	0.110	6.867	5.420	8.756
1.178	-0.277727	6.713342	4.443638	8.055558	-0.074	6.795	5.239	8.591
1.192	-0.191536	6.703765	3.792415	7.704516	-0.192	6.749	4.774	8.289
1.212	-0.086191	6.646304	3.485958	7.505510	-0.201	6.706	4.221	7.944
1.232	0.134075	6.809110	3.533842	7.672678	-0.105	6.718	3.814	7.735
1.253	0.239420	6.943185	3.505111	7.781449	0.024	6.776	3.579	7.666
1.272	-0.009577	7.010222	3.428497	7.803711	0.069	6.852	3.488	7.691
1.296	-0.134075	7.153875	3.399766	7.921762	0.057	6.979	3.467	7.795
1.311	-0.143652	7.240066	3.696647	8.130461	-0.012	7.087	3.508	7.909
1.330	-0.277727	7.412448	4.108450	8.479439	-0.141	7.204	3.658	8.084
1.350	-0.363919	7.632715	4.434062	8.834686	-0.230	7.360	3.910	8.342
1.370	-0.268151	7.891289	4.491522	9.083948	-0.263	7.544	4.183	8.632
1.389	-0.201113	8.140285	4.520253	9.313290	-0.278	7.769	4.389	8.928
1.412	-0.239420	8.513782	4.577713	9.669398	-0.268	8.045	4.506	9.225
1.427	-0.268151	8.772355	4.271256	9.760623	-0.244	8.329	4.465	9.457
1.448	-0.430956	8.954314	4.223372	9.909709	-0.285	8.595	4.398	9.663
1.468	-0.430956	9.165004	4.510676	10.223953	-0.342	8.851	4.396	9.891
1.486	-0.306458	9.337387	5.152322	10.668980	-0.359	9.057	4.539	10.141
1.507	-0.162806	9.615114	5.688623	11.173064	-0.333	9.268	4.894	10.494
1.528	-0.143652	10.141838	5.717354	11.643266	-0.261	9.565	5.267	10.927
1.546	-0.737414	10.419566	5.410896	11.763882	-0.338	9.878	5.492	11.312
1.564	-1.149217	10.342952	5.487510	11.764783	-0.548	10.130	5.576	11.586
1.586	-1.436521	10.084377	6.282385	11.967733	-0.867	10.247	5.725	11.785
1.605	-1.752556	9.490616	7.814674	12.418227	-1.269	10.084	6.249	11.979
1.623	-1.742979	8.781932	9.864111	13.321448	-1.520	9.675	7.362	12.368
1.644	-1.091756	8.398860	11.405977	14.206657	-1.506	9.189	8.842	12.979
1.661	-0.632069	7.929596	10.553641	13.215799	-1.305	8.650	9.910	13.291
1.681	-0.928950	7.412448	7.862558	10.845606	-1.099	8.131	9.922	12.897
1.702	-1.436521	7.086837	6.004658	9.399083	-1.022	7.707	8.957	11.917
1.720	-1.714248	6.809110	5.248090	8.766132	-1.178	7.309	7.417	10.557
1.740	-1.675941	6.598420	5.114015	8.514756	-1.439	6.977	6.057	9.381
1.760	-1.331176	6.445191	5.171476	8.369987	-1.539	6.735	5.385	8.762
1.779	-1.043872	6.263232	4.912902	8.028346	-1.441	6.529	5.112	8.420
1.800	-0.737414	6.129156	4.520253	7.651341	-1.197	6.359	4.930	8.141
1.817	-0.373495	6.100426	4.031836	7.321912	-0.871	6.235	4.659	7.843
1.843	-0.076614	6.071695	3.677494	7.098966	-0.558	6.141	4.286	7.525
1.860	0.153229	6.119579	3.648763	7.126444	-0.259	6.105	3.970	7.300
1.877	0.335188	6.205771	3.600879	7.182637	0.010	6.124	3.740	7.182
1.896	0.363919	6.349423	3.390190	7.207010	0.194	6.187	3.579	7.154
1.916	0.124498	6.550536	3.361459	7.363724	0.244	6.306	3.500	7.220
1.935	0.076614	6.818686	3.418920	7.628196	0.225	6.481	3.443	7.345
1.959	0.057461	6.952762	3.620033	7.838931	0.156	6.668	3.448	7.509
1.976	0.019154	7.240066	4.118027	8.329290	0.069	6.891	3.630	7.790
1.994	-0.153229	7.575254	4.414908	8.769228	0.000	7.147	3.893	8.141
2.013	-0.363919	7.987057	4.510676	9.179963	-0.110	7.439	4.166	8.529
2.033	-0.210690	8.379706	4.424485	9.478393	-0.177	7.796	4.367	8.939
2.053	0.191536	8.667010	4.050989	9.568922	-0.134	8.152	4.350	9.249
2.076	0.497994	9.069236	3.610456	9.774172	0.029	8.526	4.149	9.500
2.093	0.574608	9.461885	3.629610	10.150444	0.263	8.894	3.929	9.743
2.112	0.497994	9.710882	4.529830	10.727003	0.441	9.227	3.955	10.055
2.131	0.373495	10.017340	6.062119	11.714771	0.486	9.565	4.458	10.592
2.150	0.459687	10.544065	7.115568	12.728704	0.476	9.934	5.334	11.330
2.169	0.469264	10.687716	6.789956	12.670872	0.450	10.240	6.124	11.960
2.191	0.287304	10.314221	5.219360	11.563193	0.397	10.391	6.297	12.169
2.208	0.268151	10.007763	4.050989	10.799895	0.371	10.388	5.794	11.941
2.227	0.220267	9.634268	4.491522	10.632093	0.311	10.161	5.138	11.417
2.250	0.038307	9.030929	7.096414	11.485565	0.204	9.747	5.215	11.120
2.268	0.229843	8.820239	10.007763	13.341842	0.189	9.373	6.412	11.565
2.287	0.679953	8.810662	11.176133	14.247669	0.292	9.074	8.193	12.427
2.307	0.488417	8.207323	9.576807	12.621962	0.359	8.717	9.464	12.924
2.325	0.201113	7.345411	7.192182	10.282169	0.400	8.296	9.488	12.623
2.346	0.440533	6.924031	5.621585	8.929641	0.453	7.822	8.392	11.520
2.364	0.679953	6.732495	5.564125	8.760612	0.453	7.302	6.989	10.149
2.384	0.708684	6.579266	6.100426	9.000231	0.508	6.895	6.120	9.243
2.403	0.574608	6.397307	5.985504	8.779634	0.601	6.658	5.818	8.868
